mac_add,created_time
18:59:36:12:23:33,2016-12-07 00:00:00.000
1c:e1:92:34:d7:46,2016-12-07 00:00:00.000
2c:f0:ee:86:bd:51,2016-12-07 00:00:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:00:00.000
60:01:94:0f:9b:4e,2016-12-07 00:00:00.000
60:01:94:0f:a0:08,2016-12-07 00:00:00.000
60:01:94:0f:a0:89,2016-12-07 00:00:00.000
6e:45:fe:da:5f:27,2016-12-07 00:00:00.000
8a:15:04:55:9c:40,2016-12-07 00:00:00.000
b4:29:3d:01:85:fe,2016-12-07 00:00:00.000
b4:29:3d:01:86:00,2016-12-07 00:00:00.000
cc:44:63:7f:21:07,2016-12-07 00:00:00.000
e4:95:6e:40:68:68,2016-12-07 00:00:00.000
e4:95:6e:40:68:7d,2016-12-07 00:00:00.000
e4:95:6e:40:68:f9,2016-12-07 00:00:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:00:00.000
ec:ad:b8:7c:c1:22,2016-12-07 00:00:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:00:00.000
18:59:36:12:23:33,2016-12-07 00:01:00.000
1c:cd:e5:1e:99:78,2016-12-07 00:01:00.000
1c:e1:92:34:d7:46,2016-12-07 00:01:00.000
5c:cf:7f:22:01:df,2016-12-07 00:01:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:01:00.000
60:01:94:0f:9b:4e,2016-12-07 00:01:00.000
60:01:94:0f:a0:08,2016-12-07 00:01:00.000
60:01:94:0f:a0:89,2016-12-07 00:01:00.000
60:01:94:0f:a4:39,2016-12-07 00:01:00.000
8a:15:04:55:9c:40,2016-12-07 00:01:00.000
b4:29:3d:01:85:fc,2016-12-07 00:01:00.000
b4:29:3d:01:85:fe,2016-12-07 00:01:00.000
b4:29:3d:01:86:00,2016-12-07 00:01:00.000
cc:44:63:7f:21:07,2016-12-07 00:01:00.000
e4:95:6e:40:68:68,2016-12-07 00:01:00.000
e4:95:6e:40:68:7d,2016-12-07 00:01:00.000
e4:95:6e:40:68:f9,2016-12-07 00:01:00.000
e4:95:6e:40:6f:ee,2016-12-07 00:01:00.000
f2:b4:29:8e:b0:78,2016-12-07 00:01:00.000
fc:25:3f:d0:11:2e,2016-12-07 00:01:00.000
18:59:36:12:23:33,2016-12-07 00:03:00.000
1c:e1:92:34:d7:46,2016-12-07 00:03:00.000
44:04:44:1b:f5:2c,2016-12-07 00:03:00.000
5c:cf:7f:d3:2e:ce,2016-12-07 00:03:00.000
60:01:94:0f:9b:4e,2016-12-07 00:03:00.000
