category,sub_category,item_id,number_ordered,amount,number_returned
A,Z,125789,4,96,1
A,Z,127836,4,96,1
A,Z,125135,4,96,2
A,Z,129822,28,672,28
A,Y,129466,7,175,7
A,Y,129421,2,102,2
A,Z,130790,7,216.65,3
A,Z,124613,7,216.65,4
A,Y,124349,2,48,2
A,Z,124844,0,0,0
A,Z,128198,1,55,1
A,U,121893,1,16,0
A,U,122008,1,16,1
A,Y,125900,1,46.75,0
A,Y,125597,1,46.75,1
B,Y,126903,1,29,0
B,Y,122530,1,29,1
B,Y,125027,1,15,0
B,Y,129213,1,15,1
A,Z,123191,1,27.95,1
A,W,123452,12,126,0
A,W,127549,12,126,12
A,Y,127738,0,0,0
A,Y,129364,0,0,0
A,Y,122234,0,0,0
A,Y,127992,20,480,10
A,Y,129285,20,480,10
A,Y,130147,0,0,0
A,Y,126576,0,0,0
A,Y,128954,15,360,12
A,Y,124195,15,360,3
A,Y,127428,76,1976,76
A,Y,122742,14,336,4
A,Y,129237,14,336,4
A,Y,130199,14,336,6
A,Y,127213,66,1584,66
A,Z,124200,20,360,0
A,Z,124479,20,360,20
A,Y,125302,1,53.95,1
A,Z,128568,3,92.85,3
A,U,125674,5,80,1
A,U,122152,5,80,4
A,Z,129752,1,24.95,1
A,Z,129468,1,33,1
A,Z,122624,8,263.6,8
A,Z,125242,1,32.95,1
A,Z,126960,3,103.5,3
A,Z,122462,4,127.8,4
A,Z,129348,2,49,2
A,Z,121590,2,45,2
A,Z,125496,2,46,0
A,Z,128267,2,46,2
A,Y,127577,3,72,3
A,Y,124885,5,120,5
A,Y,130410,3,129,3
A,Z,126847,4,98,4
A,Z,130697,1,23.95,1
A,Z,127307,6,179.7,6
A,Z,126760,2,59.9,2
A,Z,129633,4,152,4
A,Z,120892,1,28,1
A,Z,123163,2,96,0
A,Z,129880,2,96,2
A,Z,126306,2,37.9,1
A,Z,125723,2,37.9,1
A,Z,123623,1,23,0
A,Z,129920,1,23,1
A,Y,127106,8,200,8
A,U,130208,4,54,0
A,U,127724,4,54,4
B,Z,129495,1,19,1
B,Z,127352,3,84,0
B,Z,126488,3,84,1
B,Z,121323,3,84,2
B,W,123721,12,93,0
B,W,130037,12,93,12
B,U,124741,6,78,0
B,U,123021,6,78,6
B,U,125844,8,98,0
B,U,126577,8,98,8
B,V,130284,1,30,0
B,V,124051,1,30,1
A,Y,129522,75,1800,0
A,Y,121635,75,1800,75
A,Y,126581,41,984,41
A,Y,122445,0,0,0
A,Y,122877,11,308,11
A,Z,121028,80,1960,4
A,Z,126408,80,1960,76
A,Z,126637,10,220,10
A,Z,127492,1,23,0
A,Z,124173,1,23,1
A,Z,129081,2,37.9,0
A,Z,121436,2,37.9,2
A,Z,128757,4,88,0
A,Z,124451,4,88,4
A,Z,122776,1,15,1
A,V,127242,2,46,1
A,V,124635,2,46,1
A,V,121573,1,21,1
A,Z,127712,2,40,2
A,Z,122902,1,14,1
A,Z,121190,1,18,0
A,Z,127200,1,18,1
A,Y,122135,1,18,1
A,Z,123873,5,115,4
A,Z,125607,5,115,1
A,Z,127064,3,88.5,3
A,Z,126779,3,99,3
A,Z,125018,3,74.85,3
A,Z,123377,10,329.5,10
A,Z,126498,2,59.9,2
A,V,128805,1,24,1
A,V,129659,1,24,1
B,Z,129835,24,480,0
B,Z,120989,24,480,24
A,Y,124205,1,51.95,1
A,U,129171,1,14.25,0
A,U,121873,1,14.25,1
A,Y,124197,26,1274,26
A,Y,123549,10,490,10
A,Z,122454,14,433.3,12
A,Z,124382,14,433.3,2
A,Y,122759,27,810,27
A,Y,125366,123,2952,39
A,Y,122254,123,2952,49
A,Y,130765,123,2952,35
A,Y,121576,12,288,12
A,Z,130923,2,69,2
A,Z,122904,1,19,1
A,Z,123957,1,33,0
A,Z,121617,1,33,1
A,Z,122614,3,88.5,0
A,Z,125941,3,88.5,3
A,Z,127137,1,24.5,1
A,U,125320,3,48,3
A,Z,128178,5,150,1
A,Z,123325,5,150,0
A,Z,129495,5,150,0
A,Z,129678,5,150,4
A,Z,124957,4,87.8,2
A,Z,126476,4,87.8,2
A,Z,124909,1,31.95,1
A,Z,130066,1,48,1
A,Z,124850,8,239.6,4
A,Z,126321,8,239.6,4
A,Z,124825,2,59.9,2
A,V,123997,1,18.95,1
A,U,122729,4,54,0
A,U,130089,4,54,4
B,Z,128176,16,480,0
B,Z,129795,16,480,16
B,Z,125954,1,13,0
B,Z,126058,1,13,1
B,Z,124435,0,0,0
B,Z,122705,2,60,0
B,Z,121479,2,60,2
B,Z,127631,2,56,0
B,Z,127029,2,56,2
B,V,124857,1,6,0
B,V,123173,1,6,1
B,W,123820,12,117,0
B,W,125270,12,117,12
A,U,121516,6,96,6
A,Y,124399,6,144,6
B,Z,123279,0,0,0
B,Z,130661,4,96,0
B,Z,122096,4,96,0
B,Z,127166,4,96,4
A,Z,121627,2,65.9,2
A,Z,124709,1,19,1
A,Z,130952,3,71.85,3
A,Z,129663,1,30,1
A,Z,130507,3,89.85,3
A,Z,127378,1,27.95,1
A,Z,122622,1,33,1
A,Z,124989,0,0,0
A,W,124283,1,11.5,1
A,Y,127612,8,296,0
A,Y,125942,8,296,0
A,Y,122756,8,296,8
A,Z,122130,1,30,1
A,Z,121661,2,53.9,1
A,Z,129271,2,53.9,1
A,Z,127734,1,17,1
A,U,130677,1,16,0
A,U,127671,1,16,1
B,W,129462,2,15.5,2
A,Y,123886,9,216,9
A,Y,124735,2,83.9,0
A,Y,130183,2,83.9,2
A,Y,128411,4,204,0
A,Y,123931,4,204,4
A,Y,128006,2,82,2
A,Y,125543,1,30.95,1
A,Y,128302,18,432,13
A,Y,122076,18,432,5
A,Y,125989,3,72,3
A,Y,124812,140,3360,140
A,Y,125826,20,460,20
A,Y,130915,80,1920,80
A,Z,122316,4,98,3
A,Z,129540,4,98,1
A,Z,128891,1,23,1
A,Z,125995,1,23,0
A,Z,123529,1,23,1
A,Y,128743,4,100,4
B,Z,124365,1,24,0
B,Z,125936,1,24,1
B,Z,126808,1,13,0
B,Z,122446,1,13,1
B,Z,124377,1,25.5,0
B,Z,129531,1,25.5,1
B,W,122439,2,19.5,2
A,U,121250,2,28,2
A,Y,127431,12,324,12
B,W,127531,3,46.5,1
B,W,123872,3,46.5,0
B,W,126631,3,46.5,2
B,W,129055,1,15.5,0
B,W,127094,1,15.5,1
A,Y,130065,3,81,3
B,W,122674,1,15.5,0
B,W,121895,1,15.5,1
B,W,129810,1,15.5,0
B,W,125387,1,15.5,1
B,W,128004,1,15.5,0
B,W,128922,1,15.5,1
B,W,124189,1,15.5,0
B,W,125314,1,15.5,1
B,W,125838,1,15.5,0
B,W,128027,1,15.5,1
B,W,121935,1,15.5,0
B,W,127368,1,15.5,1
A,Z,125092,6,95.7,6
A,Z,128106,4,63.8,2
A,Z,130191,4,63.8,2
A,Z,130366,3,47.85,3
A,Z,130204,5,129.75,5
A,Z,121664,4,132,3
A,Z,126718,4,132,0
A,Z,123447,4,132,1
A,Z,124463,2,49.9,2
A,Z,127628,2,49,2
A,W,122607,2,23,0
A,W,124951,2,23,2
A,U,126349,4,64,0
A,U,129938,4,64,4
A,U,126037,0,0,0
A,U,126770,2,28,0
A,U,127445,2,28,2
A,Y,123292,1,43,1
A,Y,126725,4,96,2
A,Y,130534,4,96,0
