x,y,z,a,b,c
58,175,2378,350,350.7115929,4756.794421
80,71,400,71,142.7308178,800.6410215
80,250,2160,1250,500.6319081,4320.578447
83,207,5229,207,414.6621389,10458.81343
22,180,1078,720,360.7452868,2156.578848
50,209,500,836,418.618629,1000.594507
37,74,1184,370,148.6213903,2368.691855
87,89,6960,445,178.796512,13920.58009
12,205,1044,205,410.6771515,2088.680834
42,106,3528,106,212.6595682,7056.680352
5,177,410,354,354.6231488,820.737375
66,212,2442,424,424.7138684,4884.542459
4,124,364,248,248.6166051,728.7212522
54,127,918,127,254.7804956,1836.786187
78,242,7098,1210,484.7378065,14196.57296
55,240,5280,1200,480.7033051,10560.56865
46,125,2346,500,250.7973796,4692.81214
30,154,1350,770,308.5339692,2700.715552
98,198,490,396,396.713636,980.6459735
11,218,308,654,436.8318047,616.5032613
48,234,1344,936,468.5137374,2688.786601
77,71,1540,142,142.5713501,3080.506145
96,130,8832,390,260.8271381,17664.71371
72,195,2664,780,390.7156609,5328.728615
91,71,4186,284,142.7494412,8372.561916
75,248,3825,744,496.7402253,7650.804478
85,243,4335,486,486.8168479,8670.522566
97,106,8245,530,212.7925423,16490.71653
20,238,100,714,476.8281795,200.7250096
38,63,3040,63,126.6474597,6080.603034
84,159,924,636,318.5769593,1848.800492
56,122,2576,488,244.6745178,5152.816907
86,101,4558,505,202.7253494,9116.654668
66,129,4158,516,258.7498055,8316.608605
50,71,3650,284,142.5673934,7300.771664
93,199,6231,597,398.7386856,12462.81429
53,186,636,186,372.7468284,1272.630951
83,137,4399,685,274.7746327,8798.741521
31,149,1984,745,298.5261538,3968.572217
20,220,1880,880,440.6409997,3760.669128
78,63,2106,189,126.6230793,4212.692612
99,132,1386,396,264.5807851,2772.678955
6,188,396,376,376.5039141,792.7601031
58,60,4350,300,120.828448,8700.61292
75,192,3000,576,384.7029988,6000.663649
96,63,3168,189,126.6146368,6336.566013
52,132,4212,396,264.7989988,8424.614705
19,178,855,178,356.816398,1710.546936
100,164,9500,328,328.5760518,19000.59368
96,186,7392,930,372.7948366,14784.53033
85,215,2465,645,430.7616377,4930.561818
67,142,3216,426,284.6829902,6432.70772
19,175,513,175,350.5819339,1026.604107
50,205,4650,615,410.778452,9300.625919
67,56,5025,168,112.6720242,10050.78424
98,236,8428,472,472.7873714,16856.75776
6,199,204,199,398.5843527,408.6589017
32,63,3040,189,126.8147526,6080.715936
77,138,3927,276,276.6357687,7854.841162
16,227,112,908,454.7075326,224.7453114
11,76,858,76,152.5905134,1716.82954
60,58,3360,174,116.722624,6720.615609
84,135,5124,540,270.697055,10248.64167
22,117,1144,234,234.6667851,2288.825201
36,133,216,133,266.7693215,432.6945928
57,217,5130,651,434.8065848,10260.71298
56,72,5320,72,144.5465717,10640.70925
79,116,3476,348,232.5874112,6952.694622
26,127,806,127,254.5245598,1612.514035
19,110,133,330,220.7609349,266.8081901
44,100,660,500,200.615007,1320.768335
100,86,4800,344,172.6749876,9600.717409
29,62,2436,124,124.7846915,4872.71632
64,169,5248,676,338.7696199,10496.69426
17,114,1088,570,228.7207242,2176.633768
45,156,3240,468,312.8256305,6480.733093
2,107,26,428,214.7205548,52.73196587
4,142,368,710,284.6293162,736.6421626
60,50,4980,100,100.7068187,9960.636687
18,226,756,452,452.613092,1512.709715
68,137,884,274,274.7211176,1768.532991
31,64,1736,320,128.6501582,3472.547113
9,92,450,368,184.6534391,900.7411933
71,111,639,333,222.6652526,1278.561473
66,218,3432,218,436.5830171,6864.762255
39,80,468,320,160.5234256,936.7479407
92,113,5428,226,226.5768445,10856.65217
58,69,3654,138,138.7285824,7308.825274
84,115,7056,345,230.7567224,14112.51931
17,81,357,405,162.7846067,714.7142056
58,95,1740,380,190.5137612,3480.51389
48,221,1056,884,442.6964502,2112.537093
87,61,1218,305,122.8099453,2436.75616
64,87,3584,348,174.7053891,7168.758883
30,107,1530,214,214.5784425,3060.821018
95,124,95,248,248.8251453,190.7634989
83,54,1245,162,108.8178559,2490.785604
59,249,236,747,498.5021701,472.6854781
27,165,864,495,330.5657595,1728.618872
65,232,4810,928,464.6946462,9620.691021
