country,first_name,gender,gender_id,image_URL,last_name,party
Netherlands,Judith,Female,1,http://ep.ngo.im/mepphoto/96910.jpg,"A. MERKIES",S&D
Malta,Claudette,Female,1,http://ep.ngo.im/mepphoto/118860.jpg,"ABELA BALDACCHINO",S&D
"United Kingdom","John Stuart",Male,2,http://ep.ngo.im/mepphoto/96897.jpg,AGNEW,EFD
Germany,"Jan Philipp",Male,2,http://ep.ngo.im/mepphoto/96736.jpg,ALBRECHT,Verts/ALE
Italy,Sonia,Female,1,http://ep.ngo.im/mepphoto/97086.jpg,ALFANO,ALDE
France,François,Male,2,http://ep.ngo.im/mepphoto/96750.jpg,ALFONSI,Verts/ALE
Italy,"Magdi Cristiano",Male,2,http://ep.ngo.im/mepphoto/96992.jpg,ALLAM,EFD
Germany,Alexander,Male,2,http://ep.ngo.im/mepphoto/28246.jpg,ALVARO,ALDE
Portugal,"Luís Paulo",Male,2,http://ep.ngo.im/mepphoto/96976.jpg,ALVES,S&D
Sweden,Amelia,Female,1,http://ep.ngo.im/mepphoto/108570.jpg,ANDERSDOTTER,Verts/ALE
"United Kingdom",Martina,Female,1,http://ep.ngo.im/mepphoto/113959.jpg,ANDERSON,GUE/NGL
"United Kingdom",Marta,Female,1,http://ep.ngo.im/mepphoto/96954.jpg,ANDREASEN,ECR
Spain,Josefa,Female,1,http://ep.ngo.im/mepphoto/96986.jpg,"ANDRÉS BAREA",S&D
France,Eric,Male,2,http://ep.ngo.im/mepphoto/113892.jpg,ANDRIEU,S&D
Lithuania,"Laima Liucija",Female,1,http://ep.ngo.im/mepphoto/28276.jpg,ANDRIKIENĖ,PPE
Italy,Roberta,Female,1,http://ep.ngo.im/mepphoto/1941.jpg,ANGELILLI,PPE
Greece,Charalampos,Male,2,http://ep.ngo.im/mepphoto/99419.jpg,ANGOURAKIS,GUE/NGL
Italy,Antonello,Male,2,http://ep.ngo.im/mepphoto/97193.jpg,ANTINORO,PPE
Romania,"Elena Oana",Male,2,http://ep.ngo.im/mepphoto/96702.jpg,ANTONESCU,PPE
Italy,Alfredo,Male,2,http://ep.ngo.im/mepphoto/28422.jpg,ANTONIOZZI,PPE
Spain,Pablo,Male,2,http://ep.ngo.im/mepphoto/96808.jpg,"ARIAS ECHEVERRÍA",PPE
Italy,Pino,Male,2,http://ep.ngo.im/mepphoto/97228.jpg,ARLACCHI,S&D
Greece,Kriton,Male,2,http://ep.ngo.im/mepphoto/97009.jpg,ARSENIS,S&D
"United Kingdom",Richard,Male,2,http://ep.ngo.im/mepphoto/28132.jpg,ASHWORTH,ECR
"United Kingdom","Sir Robert",Male,2,http://ep.ngo.im/mepphoto/4537.jpg,ATKINS,ECR
Malta,John,Male,2,http://ep.ngo.im/mepphoto/23938.jpg,ATTARD-MONTALTO,S&D
France,Sophie,Female,1,http://ep.ngo.im/mepphoto/96862.jpg,AUCONIE,PPE
France,Jean-Pierre,Male,2,http://ep.ngo.im/mepphoto/33775.jpg,AUDY,PPE
Denmark,Margrete,Female,1,http://ep.ngo.im/mepphoto/28161.jpg,AUKEN,Verts/ALE
Spain,Inés,Female,1,http://ep.ngo.im/mepphoto/28292.jpg,"AYALA SENDER",S&D
Ireland,Liam,Male,2,http://ep.ngo.im/mepphoto/28114.jpg,AYLWARD,ALDE
Spain,Pilar,Female,1,http://ep.ngo.im/mepphoto/4319.jpg,AYUSO,PPE
Netherlands,"Johannes Cornelis van",Male,2,http://ep.ngo.im/mepphoto/96937.jpg,BAALEN,ALDE
Luxembourg,Georges,Male,2,http://ep.ngo.im/mepphoto/97293.jpg,BACH,PPE
