Area,Age,Sex,Value
Northland region,0-4 Years,Male,5950
Northland region,0-4 Years,Female,5730
Auckland region,0-4 Years,Male,56870
Auckland region,0-4 Years,Female,53310
Waikato region,0-4 Years,Male,16050
Bay of Plenty region,0-4 Years,Male,9960
Bay of Plenty region,0-4 Years,Female,9590
Waikato region,0-4 Years,Female,15120
Gisborne region,0-4 Years,Male,1880
Hawke's Bay region,0-4 Years,Male,5630
Taranaki region,0-4 Years,Male,4120
Hawke's Bay region,0-4 Years,Female,5520
Taranaki region,0-4 Years,Female,3910
Gisborne region,0-4 Years,Female,1790
Wellington region,0-4 Years,Male,15980
Manawatu-Wanganui region,0-4 Years,Male,7910
Tasman region,0-4 Years,Male,1310
Nelson region,0-4 Years,Male,1510
Marlborough region,0-4 Years,Male,1340
West Coast region,0-4 Years,Male,990
Canterbury region,0-4 Years,Male,18010
Otago region,0-4 Years,Male,6020
Northland region,5-9 Years,Male,6580
Northland region,5-9 Years,Female,6110
Otago region,0-4 Years,Female,5810
Canterbury region,0-4 Years,Female,17210
West Coast region,0-4 Years,Female,970
Marlborough region,0-4 Years,Female,1320
Nelson region,0-4 Years,Female,1380
Tasman region,0-4 Years,Female,1290
Wellington region,0-4 Years,Female,15230
Manawatu-Wanganui region,0-4 Years,Female,7620
Southland region,0-4 Years,Male,3330
Auckland region,5-9 Years,Male,55070
Waikato region,5-9 Years,Male,16650
Bay of Plenty region,5-9 Years,Male,10790
Gisborne region,5-9 Years,Male,2060
Hawke's Bay region,5-9 Years,Male,5980
Taranaki region,5-9 Years,Male,4350
Manawatu-Wanganui region,5-9 Years,Male,8470
Wellington region,5-9 Years,Male,16680
Tasman region,5-9 Years,Male,1700
Nelson region,5-9 Years,Male,1590
Marlborough region,5-9 Years,Male,1470
West Coast region,5-9 Years,Male,1130
Canterbury region,5-9 Years,Male,19210
Northland region,10-14 Years,Male,6070
Otago region,5-9 Years,Male,6480
Auckland region,10-14 Years,Male,50540
Southland region,5-9 Years,Male,3560
Auckland region,10-14 Years,Female,48070
Southland region,5-9 Years,Female,3330
Otago region,5-9 Years,Female,5980
Northland region,10-14 Years,Female,5790
Canterbury region,5-9 Years,Female,18000
West Coast region,5-9 Years,Female,1080
Marlborough region,5-9 Years,Female,1450
Tasman region,5-9 Years,Female,1610
Nelson region,5-9 Years,Female,1540
Wellington region,5-9 Years,Female,15920
Manawatu-Wanganui region,5-9 Years,Female,8010
Taranaki region,5-9 Years,Female,4170
Hawke's Bay region,5-9 Years,Female,5960
Gisborne region,5-9 Years,Female,2000
Bay of Plenty region,5-9 Years,Female,10140
Waikato region,5-9 Years,Female,15840
Auckland region,5-9 Years,Female,52190
Southland region,0-4 Years,Female,3060
Waikato region,10-14 Years,Male,15180
Bay of Plenty region,10-14 Years,Male,10360
Gisborne region,10-14 Years,Male,2070
Hawke's Bay region,10-14 Years,Male,5760
Taranaki region,10-14 Years,Male,3950
Manawatu-Wanganui region,10-14 Years,Male,7690
Wellington region,10-14 Years,Male,15540
Tasman region,10-14 Years,Male,1790
Nelson region,10-14 Years,Male,1550
Marlborough region,10-14 Years,Male,1310
West Coast region,10-14 Years,Male,1000
Canterbury region,10-14 Years,Male,17720
Northland region,15-19 Years,Male,5710
Otago region,10-14 Years,Male,6240
Southland region,10-14 Years,Male,3290
Auckland region,15-19 Years,Male,56830
Waikato region,15-19 Years,Male,16130
Bay of Plenty region,15-19 Years,Male,10190
Gisborne region,15-19 Years,Male,1770
Hawke's Bay region,15-19 Years,Male,5750
Taranaki region,15-19 Years,Male,3850
Manawatu-Wanganui region,15-19 Years,Male,8730
Wellington region,15-19 Years,Male,16570
Tasman region,15-19 Years,Male,1700
Nelson region,15-19 Years,Male,1660
Marlborough region,15-19 Years,Male,1290
West Coast region,15-19 Years,Male,930
Canterbury region,15-19 Years,Male,21010
Otago region,15-19 Years,Male,8200
Northland region,20-24 Years,Male,4650
Auckland region,20-24 Years,Male,67130
Southland region,15-19 Years,Male,3130
Waikato region,20-24 Years,Male,16300
Bay of Plenty region,20-24 Years,Male,8420
Bay of Plenty region,20-24 Years,Female,7920
Waikato region,20-24 Years,Female,14950
Southland region,15-19 Years,Female,2910
Auckland region,20-24 Years,Female,63610
Northland region,20-24 Years,Female,4290
Otago region,15-19 Years,Female,8260
Canterbury region,15-19 Years,Female,19270
Marlborough region,15-19 Years,Female,1180
West Coast region,15-19 Years,Female,840
Tasman region,15-19 Years,Female,1350
Nelson region,15-19 Years,Female,1510
Wellington region,15-19 Years,Female,16220
Manawatu-Wanganui region,15-19 Years,Female,8190
Taranaki region,15-19 Years,Female,3610
Hawke's Bay region,15-19 Years,Female,5360
Bay of Plenty region,15-19 Years,Female,9080
Gisborne region,15-19 Years,Female,1610
Waikato region,15-19 Years,Female,15150
Auckland region,15-19 Years,Female,53450
Southland region,10-14 Years,Female,3120
Otago region,10-14 Years,Female,5850
Northland region,15-19 Years,Female,5330
Canterbury region,10-14 Years,Female,17140
West Coast region,10-14 Years,Female,950
Marlborough region,10-14 Years,Female,1220
Nelson region,10-14 Years,Female,1480
Tasman region,10-14 Years,Female,1770
Wellington region,10-14 Years,Female,14850
Manawatu-Wanganui region,10-14 Years,Female,7510
Hawke's Bay region,10-14 Years,Female,5590
Taranaki region,10-14 Years,Female,3710
Gisborne region,10-14 Years,Female,1810
Bay of Plenty region,10-14 Years,Female,9780
Waikato region,10-14 Years,Female,14730
Gisborne region,20-24 Years,Male,1530
Hawke's Bay region,20-24 Years,Male,4620
Taranaki region,20-24 Years,Male,3520
Manawatu-Wanganui region,20-24 Years,Male,8610
Wellington region,20-24 Years,Male,19780
Nelson region,20-24 Years,Male,1420
Tasman region,20-24 Years,Male,1150
Marlborough region,20-24 Years,Male,1050
West Coast region,20-24 Years,Male,910
Canterbury region,20-24 Years,Male,23350
Otago region,20-24 Years,Male,9860
