feature1,feature2,feature3,class
0.84823,0.99211,0.38655,0
-0.15042,1.3743,-1.1508,0
-1.5335,0.03802,0.70406,0
-1.5446,0.16433,-0.31544,0
0.1924,-0.05982,0.45291,0
-0.22301,0.17587,-0.48091,0
-0.37462,-0.5982,0.40073,0
1.3366,-0.81881,1.1952,0
0.24407,0.70408,-0.27809,0
-0.4262,0.5775,-1.116,0
-1.5822,0.032101,1.4988,0
-0.41985,0.77279,1.8216,0
-0.49935,-2.2009,1.8421,0
-0.4317,0.73488,-0.069827,0
0.20574,-1.1939,0.31491,0
1.4294,0.83004,-0.010472,0
0.91914,0.61302,-0.058657,0
1.222,-1.6798,0.81667,0
-0.047015,-0.23682,1.4137,0
-0.21168,-0.58049,0.25191,0
-0.35015,-0.24284,-2.1929,0
0.75614,0.30083,1.6861,0
-1.1585,0.27651,-0.0062122,0
-0.28727,-0.89011,-1.6589,0
-0.67945,0.32345,-1.9146,0
-0.062123,0.57538,0.14315,0
0.16206,0.23996,-2.1719,0
0.38966,-0.73481,-0.26128,0
-0.12928,0.51476,0.48216,0
1.6789,-0.0065961,1.0163,0
-0.24011,-0.33519,0.14706,0
-1.7703,-0.016056,-0.44014,0
0.45159,-0.65862,-1.2927,0
0.26248,-0.93459,0.85277,0
-1.5402,1.1027,1.4421,0
-0.4491,0.7386,-0.085839,0
-0.28427,-0.37808,-0.26753,0
-1.5041,0.30923,-0.57328,0
-0.26738,-0.074378,-0.85997,0
2.0236,2.2713,-0.42099,0
-0.79364,-0.46681,0.56024,0
0.42007,-0.9069,-1.0194,0
-0.028541,1.2279,-0.67266,0
1.2525,0.26816,0.45375,0
0.80824,-1.7687,0.76883,0
1.4586,-1.0879,-0.098306,0
-0.36972,-1.2252,0.081901,0
-4.2847,1.7709,0.87289,0
1.3165,2.2257,-0.24549,0
-0.61503,0.91623,-0.40961,0
-0.43199,-1.2188,0.18933,0
-0.48682,1.8543,3.2,0
-0.34771,-1.6121,0.74611,0
0.77933,-0.1986,-0.53571,0
-0.77417,0.86895,0.070856,0
-0.052304,0.36137,1.2237,0
-0.64371,1.0017,-0.32991,0
-0.85211,-0.70263,0.9272,0
-0.91789,-0.86866,1.3947,0
-0.51046,1.3193,1.0771,0
-1.0947,-0.7849,-0.62266,0
-0.54485,0.35467,-0.38486,0
-0.69841,0.18262,0.48906,0
-1.2473,-0.1434,0.26485,0
-0.90911,-0.34234,0.083624,0
2.3492,-0.15901,-1.3846,0
-0.39906,-0.52381,1.271,0
0.30639,-1.5431,0.38477,0
-0.19024,2.083,-0.49671,0
-0.92704,0.76092,0.16466,0
0.1461,0.15147,0.1753,0
0.66688,1.5606,-0.89534,0
0.56175,-0.0087561,0.85241,0
1.5567,1.2457,0.029338,0
-1.1543,0.25118,-0.39563,0
-0.010375,0.43874,-0.92738,0
0.80352,0.15512,-1.0193,0
1.3219,-1.594,0.72101,0
0.19915,2.1426,-0.62465,0
1.3411,-0.19239,-1.2983,0
-0.8031,1.7725,4.2679,0
-0.66159,0.099512,-0.50746,0
0.25918,-1.0686,1.0883,0
-0.44895,0.13541,0.72453,0
-2.1124,-0.16652,0.19699,0
0.012097,-0.48373,-0.16058,0
-0.30175,-0.58982,0.16542,0
0.8502,-0.41375,-1.3425,0
-0.18821,-0.70703,-1.1303,0
0.17855,0.063514,1.3682,0
-0.070784,1.602,0.094064,0
0.017253,0.29953,-0.50333,0
1.3091,-0.68905,0.41439,0
0.98235,0.32388,0.65486,0
1.3317,-0.52927,0.57185,0
0.63195,-0.39222,-0.038047,0
0.074479,-0.66258,-0.074639,0
0.52779,0.80331,0.49288,0
0.39565,-0.12686,-1.5574,0
-0.075566,0.12289,0.17603,0
1.455,2.1837,1.5412,0
-0.46752,-0.11988,1.4993,0
1.6061,-0.44,0.73079,0
0.26302,-0.82559,-0.32654,0
1.7147,-0.28174,-0.48609,0
-1.0272,0.81776,1.2916,0
1.7704,0.30996,-1.4944,0
0.43614,-0.10485,0.086769,0
-0.93487,-0.50216,-2.7839,0
-0.15859,-0.059272,-0.1875,0
1.9047,0.41586,-0.027111,0
-0.51687,0.56495,-1.5496,0
0.1442,-1.1416,1.0413,0
-0.51127,0.25513,0.87916,0
0.85264,0.29142,0.36553,0
1.3893,-0.60528,-1.1764,0
0.7605,0.19207,0.54926,0
1.0877,0.0048914,-0.76352,0
-2.8532,0.77569,0.88493,0
0.22107,-0.8469,-1.7795,0
1.7444,1.1765,0.31004,0
-1.5605,0.56598,-0.90618,0
-0.57657,-0.11955,0.51707,0
1.4008,-0.16722,0.9392,0
1.3333,0.53951,1.6361,0
1.7559,0.74714,0.51154,0
-0.57448,-1.8061,0.5625,0
0.32267,-1.2556,-1.3674,0
-2.2445,0.73515,2.3504,0
0.56992,0.34683,-0.69187,0
-0.85593,-0.92371,-0.99141,0
0.77983,-0.63848,-0.25207,0
0.42675,1.333,1.5711,0
-0.68339,-1.9431,0.93886,0
-0.62832,0.47927,0.23067,0
0.88501,0.12342,1.3665,0
0.30826,0.66228,0.51907,0
0.073874,1.9538,0.22152,0
-1.0776,-0.13856,-1.1552,0
0.7352,0.028933,-1.4658,0
-1.895,-1.825,-1.3144,0
0.24048,1.0672,0.46149,0
-1.7597,0.89275,-1.5571,0
-0.56289,1.0929,1.6296,0
0.26113,1.8024,-1.0186,0
0.31699,1.3929,0.011882,0
0.34408,2.541,-2.0946,0
-0.36798,-0.67678,0.56556,0
-0.51115,-1.2952,-1.2123,0
0.70627,-1.1908,-0.78563,0
0.062774,0.0076902,1.9595,0
-0.40827,0.625,-0.50022,0
-1.5614,0.25856,-1.6647,0
0.89186,-0.60409,-0.59642,0
0.32191,0.015652,1.5936,0
0.030708,1.4679,1.2068,0
-0.34107,0.3886,-2.2318,0
-1.2685,-0.38855,-0.28638,0
-1.17,0.64142,0.39297,0
1.6012,0.19592,2.2352,0
-0.53464,0.36991,-0.79036,0
-2.0082,1.2644,-0.93702,0
1.3882,-0.021137,0.74411,0
1.424,-0.90129,1.305,0
-0.90462,1.2378,1.3387,0
-0.6437,0.59818,-0.78373,0
-0.35979,1.4115,0.15667,0
-0.38627,-0.87893,0.59577,0
-0.22942,-1.2272,0.16295,0
1.3659,0.59138,-0.61909,0
-0.1526,0.01016,-0.8923,0
-0.44217,1.6959,0.16692,0
-0.32132,0.40316,0.58253,0
0.68912,1.1281,-1.4223,0
-1.3002,-0.99144,0.86974,0
-1.0608,-1.1691,-0.4233,0
0.57077,-1.0309,0.45833,0
0.54082,0.58625,-1.0748,0
-0.10642,-0.35216,-0.074304,0
0.084355,-1.5007,-0.34189,0
1.9436,-1.0052,-0.46965,0
-0.75046,0.28335,0.15318,0
0.73229,-0.55946,-1.3888,0
-1.0175,0.53515,0.25059,0
0.23224,1.9938,-1.2165,0
0.071802,0.139,-0.007118,0
-0.48076,1.2199,0.87371,0
3.0485,-0.18689,1.2535,0
-0.42949,1.2947,-0.67009,0
-2.0365,-0.69257,-0.25269,0
-0.54227,-1.7568,0.35517,0
0.56446,1.194,0.023522,0
-0.51738,0.42816,1.0014,0
-1.0017,0.81387,0.19463,0
0.49624,-0.98832,-0.90154,0
-0.14822,0.041442,0.8588,0
0.44251,0.48866,0.51142,0
-0.57849,1.1451,-0.75576,0
0.50485,-3.1651,-0.88549,0
1.9273,0.31955,-0.76457,0
0.066875,-1.0272,-0.84818,0
-0.22055,-0.66908,0.93768,0
-0.76671,-0.25732,0.41578,0
-0.5171,-2.0254,-0.84291,0
-1.3184,0.75839,-1.061,0
1.7693,-0.57182,-0.91482,0
0.18822,-1.2601,-1.1544,0
-0.28233,0.85225,1.4258,0
